age,campaign,previous,marital,education,default,housing,loan,contact,month,day_of_week,duration_group,emp.var.rate_sign,cons.conf.idx_group,admin.,blue-collar,entrepreneur,housemaid,management,retired,self-employed,services,student,technician,unemployed,y
30,1,0,1,3,0,0,0,1,4,1,0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0
55,1,0,1,0,0,1,0,1,4,1,2,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0
55,1,0,2,3,0,1,0,1,4,1,3,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0
41,1,0,2,3,0,1,0,1,4,1,1,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0
37,1,0,1,3,0,1,0,1,4,1,1,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0
35,1,0,1,6,0,0,1,1,4,1,0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0
39,1,0,1,2,0,0,0,1,4,1,2,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0
54,2,0,2,6,0,0,0,1,4,1,2,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0
55,1,0,1,6,0,1,0,1,4,1,3,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0
46,1,0,1,6,0,0,0,1,4,1,3,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0
49,1,0,1,6,0,0,0,1,4,1,0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0
54,1,0,1,0,0,1,0,1,4,1,2,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0
54,1,0,0,0,0,0,0,1,4,1,2,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0
55,1,0,1,0,0,1,0,1,4,1,3,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0
34,1,0,1,3,0,0,0,1,4,1,3,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0
41,1,0,1,6,0,1,0,1,4,1,5,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0
56,1,0,1,0,0,1,0,1,4,1,1,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0
58,1,0,1,6,0,1,0,1,4,1,3,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0
32,1,0,1,3,0,1,0,1,4,1,3,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0
38,1,0,2,5,0,0,0,1,4,1,1,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0
57,1,0,1,6,0,0,1,1,4,1,2,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0
44,1,0,1,6,0,1,0,1,4,1,1,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0
57,1,0,1,6,0,1,1,1,4,1,6,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0
40,1,0,1,2,0,0,1,1,4,1,1,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0
35,1,0,1,6,0,1,0,1,4,1,3,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0
45,2,0,1,2,0,1,0,1,4,1,2,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0
54,1,0,1,3,0,0,0,1,4,1,1,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0
39,1,0,1,0,0,0,1,1,4,1,2,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0
53,1,0,2,5,0,0,0,1,4,1,1,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0
55,2,0,1,0,0,0,0,1,4,1,2,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0
55,1,0,1,5,0,1,0,1,4,1,1,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0
50,1,0,1,6,0,0,1,1,4,1,1,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0
55,1,0,1,5,0,1,1,1,4,1,1,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0
47,1,0,1,6,0,0,0,1,4,1,4,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0
42,1,0,1,1,0,1,0,1,4,1,1,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0
42,1,0,1,1,0,0,0,1,4,1,3,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0
48,1,0,1,3,0,0,0,1,4,1,3,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0
37,1,0,1,6,0,0,0,1,4,1,2,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0
44,1,0,2,2,0,1,0,1,4,1,0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0
33,1,0,1,6,0,1,0,1,4,1,2,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0
56,2,0,1,2,0,1,0,1,4,1,1,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0
44,1,0,2,0,0,1,1,1,4,1,1,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0
41,1,0,1,1,0,0,0,1,4,1,1,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0
44,1,0,0,6,0,1,0,1,4,1,1,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0
47,1,0,1,6,0,1,0,1,4,1,1,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0
57,1,0,1,6,0,0,0,1,4,1,2,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0
37,1,0,1,6,0,1,0,1,4,1,2,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0
55,1,0,1,6,0,0,0,1,4,1,3,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0
33,2,0,1,3,0,1,0,1,4,1,3,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0
55,1,0,1,6,0,1,0,1,4,1,2,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0
42,1,0,1,2,0,0,0,1,4,1,2,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0
50,1,0,1,0,0,1,0,1,4,1,1,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0
51,1,0,1,0,0,1,0,1,4,1,2,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0
38,2,0,1,3,0,0,0,1,4,1,1,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0
31,1,0,0,3,0,0,0,1,4,1,2,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0
41,2,0,1,1,0,0,0,1,4,1,5,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0
39,1,0,1,6,0,1,1,1,4,1,1,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0
34,2,0,1,3,0,1,0,1,4,1,1,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0
35,2,0,1,6,0,1,0,1,4,1,1,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0
57,1,0,1,6,0,1,0,1,4,1,0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0
33,1,0,1,2,0,0,0,1,4,1,5,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0
42,1,0,1,1,0,0,1,1,4,1,5,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0
45,1,0,1,5,0,1,0,1,4,1,2,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0
42,1,0,1,6,0,0,0,1,4,1,4,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0
53,1,0,0,6,0,0,0,1,4,1,2,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0
37,1,0,2,5,0,0,0,1,4,1,1,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0
44,1,0,1,1,0,0,0,1,4,1,2,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0
54,1,0,1,6,0,1,0,1,4,1,2,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0
49,3,0,1,0,0,0,0,1,4,1,0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0
54,1,0,1,6,0,0,0,1,4,1,3,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0
52,1,0,0,6,0,0,0,1,4,1,1,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0
52,1,0,0,6,0,0,0,1,4,1,1,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0
34,2,0,1,1,0,1,0,1,4,1,2,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0
35,2,0,1,3,0,1,0,1,4,1,1,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0
42,1,0,1,6,0,1,0,1,4,1,2,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0
43,1,0,1,6,0,1,1,1,4,1,3,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0
35,1,0,0,3,0,1,0,1,4,1,1,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0
55,2,0,1,2,0,1,0,1,4,1,2,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0
37,2,0,1,6,0,0,0,1,4,1,3,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0
36,1,0,1,3,0,0,0,1,4,1,2,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0
52,2,0,0,6,0,0,0,1,4,1,2,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0
57,1,0,0,6,0,1,0,1,4,1,5,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0
56,1,0,1,6,0,1,0,1,4,1,3,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0
48,1,0,0,0,0,1,0,1,4,1,1,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0
40,1,0,1,3,0,1,0,1,4,1,0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0
49,1,0,0,3,0,0,0,1,4,1,4,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0
41,1,0,1,3,0,0,0,1,4,1,1,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0
45,1,0,1,3,0,1,0,1,4,1,0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0
32,1,0,1,6,0,1,1,1,4,1,1,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0
42,2,0,1,6,0,0,1,1,4,1,2,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0
50,1,0,1,1,0,0,0,1,4,1,0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0
31,1,0,0,5,0,1,1,1,4,1,0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0
56,2,0,1,0,0,1,0,1,4,1,1,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0
41,1,0,1,5,0,1,0,1,4,1,5,1.0,0,0,0,0,0,0,0,0,0,0,1,0,1
37,1,0,1,1,0,1,1,1,4,1,1,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0
41,1,0,1,5,0,0,0,1,4,1,6,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0
35,1,0,1,6,0,1,0,1,4,1,2,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0
37,1,0,1,1,0,1,0,1,4,1,3,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0
52,1,0,1,6,0,0,0,1,4,1,1,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0
39,1,0,0,6,0,0,0,1,4,1,2,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0
39,2,0,1,0,0,0,0,1,4,1,0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0
56,2,0,1,0,0,0,0,1,4,1,0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0
34,2,0,1,3,0,1,0,1,4,1,1,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0
45,1,0,1,2,0,1,0,1,4,1,4,1.0,0,0,1,0,0,0,0,0,0,0,0,0,1
43,1,0,2,6,0,1,0,1,4,1,2,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0
56,1,0,1,6,0,1,0,1,4,1,0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0
39,1,0,1,6,0,1,0,1,4,1,1,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0
53,1,0,1,0,0,1,0,1,4,1,1,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0
38,1,0,0,3,0,1,0,1,4,1,0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0
42,1,0,1,0,0,1,0,1,4,1,5,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0
42,1,0,1,0,0,0,0,1,4,1,5,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0
35,1,0,2,3,0,1,0,1,4,1,3,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0
40,1,0,1,6,0,1,0,1,4,1,1,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0
51,1,0,1,0,0,1,0,1,4,1,0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0
56,1,0,1,6,0,1,0,1,4,1,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0
39,1,0,0,3,0,1,0,1,4,1,0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0
56,1,0,1,6,0,0,0,1,4,1,2,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0
40,1,0,1,6,0,1,1,1,4,1,1,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0
36,1,0,1,2,0,1,1,1,4,1,0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0
51,1,0,1,6,0,1,0,1,4,1,0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0
51,1,0,1,6,0,0,0,1,4,1,2,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0
43,2,0,2,5,0,1,0,1,4,1,1,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0
37,2,0,2,2,0,1,1,1,4,1,1,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0
40,1,0,1,2,0,0,0,1,4,1,0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0
42,3,0,1,2,0,0,0,1,4,1,5,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0
37,1,0,1,1,0,0,0,1,4,1,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0
38,1,0,1,3,0,1,1,1,4,1,5,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0
56,2,0,0,6,0,0,0,1,4,1,1,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0
40,2,0,1,6,0,0,0,1,4,1,1,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0
43,1,0,1,3,0,0,1,1,4,1,1,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0
36,1,0,1,3,0,0,0,1,4,1,4,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0
45,1,0,1,6,0,1,1,1,4,1,2,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0
42,1,0,2,6,0,0,0,1,4,1,1,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0
43,3,0,1,3,0,0,0,1,4,1,0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0
46,2,0,1,2,0,0,0,1,4,1,1,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0
44,1,0,1,3,0,1,1,1,4,1,1,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0
51,2,0,2,1,0,0,0,1,4,1,3,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0
28,1,0,1,3,0,1,0,1,4,1,0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0
37,1,0,1,2,0,0,0,1,4,1,2,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0
34,1,0,1,3,0,0,0,1,4,1,2,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0
46,1,0,1,1,0,1,0,1,4,1,2,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0
42,2,0,1,2,0,1,1,1,4,1,6,1.0,0,0,1,0,0,0,0,0,0,0,0,0,1
36,3,0,1,6,0,1,0,1,4,1,2,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0
54,1,0,1,0,0,0,0,1,4,1,1,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0
57,1,0,1,6,0,0,0,1,4,1,4,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0
51,1,0,1,1,0,0,0,1,4,1,2,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0
54,1,0,1,3,0,0,0,1,4,1,1,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0
49,1,0,1,0,0,0,0,1,4,1,2,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0
34,1,0,1,6,0,1,0,1,4,1,1,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0
41,1,0,1,5,0,0,0,1,4,1,4,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0
38,2,0,2,2,0,1,0,1,4,1,1,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0
42,2,0,1,6,0,0,0,1,4,1,2,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0
34,1,0,2,2,0,1,0,1,4,1,0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0
48,1,0,1,0,0,1,0,1,4,1,7,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0
37,1,0,1,3,0,1,0,1,4,1,3,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0
34,1,0,2,2,0,0,0,1,4,1,2,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0
40,2,0,1,2,0,1,0,1,4,1,6,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0
33,2,0,1,3,0,0,0,1,4,1,1,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0
32,1,0,2,1,0,0,0,1,4,1,1,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0
39,2,0,1,3,0,1,0,1,4,1,3,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0
43,1,0,1,6,0,0,0,1,4,1,2,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0
44,1,0,1,2,0,1,0,1,4,1,1,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0
35,1,0,2,6,0,0,0,1,4,1,2,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0
35,1,0,2,6,0,1,1,1,4,1,2,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0
35,1,0,1,5,0,0,0,1,4,1,0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0
36,1,0,2,0,0,0,0,1,4,1,2,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0
35,1,0,2,6,0,1,0,1,4,1,2,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0
36,1,0,2,2,0,1,0,1,4,1,2,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0
55,1,0,0,6,0,0,0,1,4,1,2,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0
57,2,0,1,6,0,0,0,1,4,1,6,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0
39,1,0,1,5,0,1,0,1,4,1,4,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0
39,2,0,1,0,0,1,0,1,4,1,3,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0
30,1,0,2,6,0,1,0,1,4,1,2,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0
30,1,0,2,6,0,1,1,1,4,1,4,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0
50,1,0,1,0,0,0,0,1,4,1,2,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0
40,3,0,1,3,0,0,0,1,4,1,3,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0
35,2,0,1,3,0,1,0,1,4,1,2,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0
43,2,0,1,6,0,0,0,1,4,1,3,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0
36,1,0,2,1,0,1,0,1,4,1,2,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0
46,1,0,1,0,0,1,0,1,4,1,2,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0
40,1,0,1,2,0,0,0,1,4,1,1,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0
58,1,0,1,6,0,0,0,1,4,1,1,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0
42,2,0,1,6,0,0,0,1,4,1,0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0
35,2,0,2,6,0,0,0,1,4,1,2,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0
43,3,0,1,0,0,0,0,1,4,1,4,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0
45,1,0,1,0,0,1,1,1,4,1,1,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0
39,2,0,1,5,0,1,0,1,4,1,5,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0
50,1,0,0,5,0,1,0,1,4,1,1,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0
32,2,0,0,0,0,1,0,1,4,1,1,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0
39,1,0,1,3,0,0,0,1,4,1,3,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0
52,1,0,1,6,0,0,0,1,4,1,1,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0
44,1,0,1,5,0,1,0,1,4,1,2,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0
56,1,0,1,0,0,0,0,1,4,1,1,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0
48,2,0,1,3,0,0,0,1,4,1,1,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0
33,2,0,1,3,0,0,1,1,4,1,1,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0
43,3,0,1,6,0,0,1,1,4,1,2,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0
57,2,0,1,3,0,0,0,1,4,1,2,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0
36,1,0,2,5,0,0,0,1,4,1,1,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0
34,2,0,2,2,0,0,0,1,4,1,7,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0
30,1,0,1,6,0,0,0,1,4,1,0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0
33,2,0,0,6,0,0,0,1,4,1,1,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0
32,1,0,2,5,0,0,0,1,4,1,0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0
36,2,0,2,3,0,1,0,1,4,1,1,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0
36,1,0,2,3,0,0,1,1,4,1,3,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0
33,1,0,2,3,0,0,0,1,4,1,7,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0
40,1,0,0,5,0,0,0,1,4,1,1,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0
41,1,0,1,0,0,1,0,1,4,1,2,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0
51,1,0,1,1,0,1,0,1,4,1,1,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0
36,3,0,1,5,0,1,0,1,4,1,2,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0
28,2,0,1,6,0,0,0,1,4,1,4,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0
53,3,0,1,3,0,1,1,1,4,1,3,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0
58,2,0,1,2,0,1,0,1,4,1,1,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0
45,1,0,1,2,0,0,1,1,4,1,0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0
43,1,0,1,6,0,1,0,1,4,1,1,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0
33,1,0,1,3,0,0,1,1,4,1,0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0
33,1,0,1,3,0,0,1,1,4,1,1,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0
27,1,0,2,1,0,1,0,1,4,1,1,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0
42,1,0,1,3,0,0,0,1,4,1,3,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0
43,3,0,0,2,0,0,0,1,4,1,0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0
42,2,0,1,6,0,0,0,1,4,1,0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0
27,1,0,2,1,0,0,0,1,4,1,3,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0
34,2,0,2,6,0,1,0,1,4,1,1,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0
31,2,0,2,6,0,0,0,1,4,1,3,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0
54,2,0,0,6,0,0,0,1,4,1,6,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0
40,3,0,1,0,0,0,0,1,4,1,0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0
52,1,0,1,3,0,1,0,1,4,1,1,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0
47,2,0,0,6,0,0,0,1,4,1,0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0
49,1,0,1,2,0,0,0,1,4,1,1,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0
32,2,0,2,3,0,0,0,1,4,1,6,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0
49,2,0,2,3,0,1,1,1,4,1,1,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0
50,1,0,1,2,0,0,0,1,4,1,4,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0
55,2,0,1,0,0,0,0,1,4,1,1,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0
51,3,0,1,5,0,0,0,1,4,1,1,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0
47,2,0,1,1,0,0,0,1,4,1,0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0
56,3,0,1,0,0,1,0,1,4,1,1,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0
53,3,0,1,2,0,0,0,1,4,1,1,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0
36,2,0,1,2,0,1,0,1,4,1,0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0
42,2,0,0,2,0,1,0,1,4,1,1,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0
44,2,0,0,1,0,0,0,1,4,1,0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0
